no,クリア個数,初期線の数,緑ゴール数,三角ゴール数,バツゴール数,ボールの速さ（多いほど速い）,同時にあるボール個数,カラー,energy線,spike線,ワープ線,カラー線,onoff線,移動線,FAST線,ONLY線,スロー線,分裂線,重力反転線,総ボール数,ミス許容数,ゴール回転,制限時間,ギミック,description
1,3,2,2,1,2,0.81,2,,,,,,,,,,,,,7,2,なし,なし,"system","アミダの基本。まずは直線をたどろう"
2,3,4,2,1,2,0.82,1,,,,,,,,,,,,,7,2,なし,なし,"system","線が少し増えたよ。迷わないで"
3,3,7,1,2,2,0.82,2,,,,,,,,,,,,,7,2,なし,なし,"system","遠回りする道もあるかも？"
4,3,4,2,1,2,0.83,1,,,,,,,,,,,,,6,2,なし,なし,"system","ゴールをしっかり見極めて！"
5,3,10,2,1,2,0.84,2,,,,,,,,,,,,,6,2,なし,なし,"system","複雑に交差する最初の試練"
6,3,6,2,1,2,0.85,1,,,,,,,,,,,,,6,2,なし,なし,"system","線がいっぱい！最適なルートを探せ"
7,3,4,1,2,2,0.86,2,,,,,,,,,,,,,8,2,なし,なし,"system","目が回るアミダ。どのレーンから落とす？"
8,3,3,2,1,2,0.86,1,,,,,,,,,,,,,7,2,なし,なし,"system","上下によく見て、ボールの軌道を予測しよう"
9,3,2,2,1,2,0.87,2,,,,,,,,,,,,,8,2,なし,なし,"system","基本の応用。ボールを狙い通りの場所に落とせるか"
10,3,8,2,1,2,0.88,2,,,,,,,,,,,,,8,2,なし,なし,"system","基本の総復習。ここを越えれば次のステージへ"
11,3,2,1,2,2,0.89,3,,1,,,,,,,,,,,7,2,なし,なし,"bonus","緑のエナジーを取ってエネルギーを回復させよう"
12,3,2,2,1,2,0.90,1,,,1,,,,,,,,,,6,2,なし,なし,"penalty","赤いスパイクはダメージの危険！避けて進もう"
13,3,3,2,1,2,0.90,2,,2,,,,,,,,,,,7,2,なし,なし,"bonus/penalty","エナジーとスパイクが交互に配置された最初の難所"
14,3,5,2,1,2,0.91,3,,,2,,,,,,,,,,8,2,なし,なし,"bonus/penalty","アイテムがたくさん！エナジーをたくさん集めよう"
15,3,5,1,2,2,0.92,1,,,3,,,,,,,,,,6,2,なし,なし,"system/penalty","スパイクの壁を越えろ。精密なラインコントロール"
16,3,7,2,1,2,0.93,2,,3,,,,,,,,,,,8,2,なし,なし,"system/bonus","エナジーのご褒美。安全なルートを進もう"
17,3,9,2,1,2,0.94,3,,2,,,,,,,,,,,7,2,なし,なし,"bonus/penalty/system","欲張ると危険？エナジーを狙うか、安全を取るか"
18,3,4,2,1,2,0.94,1,,,1,,,,,,,,,,7,2,なし,なし,"penalty/system","複雑な道と罠。裏ルートには何がある？"
19,3,3,1,2,2,0.95,2,,,3,,,,,,,,,,7,2,なし,なし,"bonus/penalty","アイテムラッシュ！一気にエネルギーを満たせ"
20,3,9,2,1,2,0.96,3,,3,3,,,,,,,,,,6,2,なし,なし,"bonus/penalty/system","トラップをかいくぐれ。アイテムの総力戦"
21,3,3,2,1,2,0.97,1,,,,,,,1,,,,,,6,2,なし,なし,"moving","動く線が登場！左右に揺れるタイミングを見極めて"
22,3,5,2,1,2,0.98,2,,,,,,,3,,,,,,6,2,なし,なし,"moving","タイミングを見極めて。動くアミダを乗りこなそう"
23,3,9,1,2,2,0.98,3,,,,,,,3,,,,,,7,2,なし,なし,"moving/system","左右に揺れる道。ボールが落ちる瞬間の位置は？"
24,3,5,2,1,2,0.99,1,,,,,,,3,,,,,,8,2,なし,なし,"moving","動く線がいっぱい！ダンスのように賑やかなステージ"
25,3,7,2,1,2,1.00,2,,,3,,,,2,,,,,,7,2,なし,なし,"moving/penalty","スパイクを避けるタイミング。慎重にボールを降らせ"
26,3,6,2,1,2,1.01,3,,,,,,,3,,,,,,6,2,なし,なし,"moving/system","止まっている道と動く道。2つの挙動を計算しよう"
27,3,2,1,2,2,1.02,1,,1,,,,,1,,,,,,8,2,なし,なし,"moving/bonus","エナジーが逃げていく？動く線を狙い撃て"
28,3,2,2,1,2,1.02,2,,,,,,1,,,,,,,6,2,なし,なし,"blink","消える線！？点滅する道をよく見て進もう"
29,3,6,2,1,2,1.03,3,,,,,,,,,,,,,8,2,なし,なし,"blink/system","点滅する道。記憶力が試される"
30,3,8,2,1,2,1.04,1,,,,,,3,,,,,,,8,2,なし,なし,"blink","見えない間は進めない。消えている時間を考慮しよう"
31,3,6,1,2,2,1.05,2,,3,,,,3,,,,,,,7,2,なし,なし,"blink/bonus","消えるエナジー。現れた瞬間を狙えるか"
32,3,3,2,1,2,1.06,3,,,2,,,,,,,,,,8,2,なし,なし,"blink/penalty","見えないスパイクにご用心。出現タイミングを覚えるんだ"
33,3,6,2,1,2,1.06,1,,,,,,,,,,,,,8,2,なし,なし,"blink","チカチカする迷路。目を凝らしてルートを予測"
34,3,8,2,1,2,1.07,2,,,,,,3,3,,,,,,7,2,なし,なし,"moving/blink","動いて消える幻の道。動と消滅の複合アクション"
35,3,6,1,2,2,1.08,3,,,1,,,,2,,,,,,7,2,なし,なし,"moving/blink/penalty","動く消える罠の迷宮。Tier 3 of 集大成"
36,3,2,2,1,2,1.09,1,,,,,,,,1,,,,,8,2,なし,なし,"speedUp","加速線でスピードアップ！一瞬の判断が求められる"
37,3,5,2,1,2,1.10,2,,,,,,,,2,,,,,8,2,なし,なし,"speedUp/system","加速線と通常線の連続。超高速のアミダ"
38,3,9,2,1,2,1.10,3,,,2,,,,,3,,,,,7,2,なし,なし,"speedUp/penalty","急加速に注意！スパイクへ突っ込まないように"
39,3,7,1,2,2,1.11,1,,3,,,,,,2,,,,,8,2,なし,なし,"speedUp/bonus","加速してエナジーゲット。スピードの中でアイテムを回収"
40,3,2,2,1,2,1.12,2,,,,,,,,1,,,,,6,2,あり,なし,"speedUp","スピードの限界へ。ボールが目にも留まらぬ速さで駆け抜ける"
41,3,3,2,1,2,1.13,3,,,,,,,2,1,,,,,6,2,あり,なし,"moving/speedUp","動く加速線。揺れ動くブーストポイントを狙え"
42,3,10,2,1,2,1.14,1,,,,,,3,,3,,,,,7,2,あり,なし,"blink/speedUp","消える超特急。消える加速線のタイミングを計れ"
43,3,3,1,2,2,1.14,2,,,,,,,,,,1,,,7,2,あり,なし,"slow","スロー線が登場！ボール速度が永続で半分になる"
44,3,5,2,1,2,1.15,3,,,,,,,,,,3,,,7,2,あり,なし,"slow","スロー線に触れると次のボールが即時降下！同時降下を操れ"
45,3,5,2,1,2,1.16,1,,,,,,,,3,,1,,,7,2,あり,なし,"speedUp/slow","急加速と急減速。スピードの落差に脳を慣らせ"
